Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Epoetin alfa (Eprex),Treatment of Anemia in Chronic Kidney Disease (CKD),Treatment of Anemia in Chemotherapy patients,"Hypertension, headache, thrombosis (blood clots).",Erythropoiesis-Stimulating Agent (ESA),Very High Cost; Specialty Injection,"SC or IV (Dosing highly individualized, typically 3 times weekly).","Epoetin beta, Darbepoetin alfa.",Global Injection (Pre-filled Syringe)
Epoetin beta (Neorecormon),Treatment of Anemia in Chronic Kidney Disease (CKD),-,"Hypertension, headache, increased risk of thrombosis.",Erythropoiesis-Stimulating Agent (ESA),Very High Cost; Specialty Injection,"SC or IV (Dosing highly individualized, often 3 times weekly).","Epoetin alfa, Darbepoetin alfa.",Global Injection (Pre-filled Syringe)
Epoprostenol (prostacyclin),Primary Pulmonary Arterial Hypertension (PAH),-,"Flushing, jaw pain, headache, nausea, hypotension, pain at infusion site. Serious: Rebound PAH upon abrupt withdrawal.","Prostacyclin Analog (Vasodilator, Platelet inhibitor)",Extremely High Cost; Hospital/IV use only,Continuous IV infusion (Dosing highly individualized and complex).,"Treprostinil, Iloprost.",Global Injection
Eprosartan,Hypertension (High Blood Pressure),-,"Upper respiratory tract infection, headache, dizziness. Serious: Angioedema, renal impairment.",Angiotensin II Receptor Blocker (ARB),₹50 - ₹150 per 10 tabs (600mg),600 mg once daily.,"Losartan, Candesartan, Valsartan.",Global Tablet
Eptifibatide,"Acute Coronary Syndromes (ACS) (Unstable Angina, NSTEMI)",Adjunct to Percutaneous Coronary Intervention (PCI),"Bleeding (major or minor), hypotension. Serious: Severe thrombocytopenia.",Glycoprotein IIb/IIIa Inhibitor (Platelet Aggregation Inhibitor),Very High Cost; Hospital/IV use only,IV Bolus followed by continuous IV infusion.,"Tirofiban, Abciximab.",Global Injection
Eribulin,Metastatic Breast Cancer (post-failure of other regimens),Liposarcoma (unresectable),"Neutropenia, fatigue, alopecia, peripheral neuropathy, nausea. Serious: QT prolongation.",Microtubule Dynamics Inhibitor (Chemotherapy),Extremely High Cost; Oncology use only,1.4 $\text{mg}/\text{m}^2$ IV infusion on Days 1 and 8 of a 21-day cycle.,"Paclitaxel, Docetaxel.",Global Injection
Erlotinib,Metastatic Non-Small Cell Lung Cancer (NSCLC) (EGFR mutation positive),Pancreatic Cancer (in combination with Gemcitabine),"Rash (acneiform), diarrhea, anorexia, fatigue. Serious: Interstitial lung disease (ILD), GI perforation.",Tyrosine Kinase Inhibitor (TKI) (EGFR Inhibitor),Extremely High Cost; Oncology use only,150 mg once daily (NSCLC). 100 mg once daily (Pancreatic Cancer).,"Gefitinib, Osimertinib.",Global Tablet
Ertapenem,Complicated Intra-abdominal Infections,"Community-Acquired Pneumonia, Acute Pelvic Infections","Diarrhea, nausea, vomiting, headache, injection site pain. Serious: Seizures (higher risk in renal impairment), C. difficile infection.",Carbapenem Antibiotic,Very High Cost; Hospital/IV use only,1 g IV or IM once daily.,"Meropenem, Imipenem/Cilastatin.",Global Injection
Erythromycin,"Wide range of Bacterial Infections (Respiratory, Skin, Pertussis)",Gastric motility stimulant (Prokinetic - low dose),"Nausea, vomiting, abdominal pain, diarrhea (can be severe). Serious: QT prolongation, liver problems (cholestatic hepatitis).",Macrolide Antibiotic,₹30 - ₹100 per 10 tabs (250mg/500mg),250 mg to 500 mg every 6 hours (up to 4 g/day).,"Azithromycin, Clarithromycin.",Global Tablet/Suspension/IV
Escitalopram,Major Depressive Disorder (MDD),"Generalized Anxiety Disorder (GAD), Panic Disorder, OCD","Nausea, headache, insomnia/somnolence, increased sweating, sexual dysfunction.",Selective Serotonin Reuptake Inhibitor (SSRI),₹80 - ₹300 per 10 tabs (10mg/20mg),10 mg once daily (max 20 mg daily).,"Citalopram, Sertraline, Fluoxetine.",Global Tablet/Oral Solution
Eslicarbazepine acetate,Treatment of Partial-onset Seizures (Epilepsy),-,"Dizziness, drowsiness, nausea, vomiting, headache, changes in vision.",Antiepileptic Drug (AED),Very High Cost; Specialty drug,Initial: 400 mg once daily. Maintenance: 800 mg to 1200 mg once daily.,"Carbamazepine, Oxcarbazepine.",Global Tablet
Esmolol hydrochloride,Acute management of Supraventricular Tachycardia (SVT),Rapid rate control in Atrial Fibrillation/Flutter (Perioperative/Critical Care),"Hypotension (low blood pressure), bradycardia, dizziness. Serious: Heart failure, bronchospasm.",Short-acting $\text{Beta}_1$ Selective Adrenergic Blocker,High Cost; Hospital/IV use only,IV infusion (Loading dose then 50 to 200 $\mu$g/kg/min).,"Propranolol, Labetalol (IV).",Global Injection
Esomeprazole,Gastro-oesophageal Reflux Disease (GORD),"Erosive Esophagitis, Prevention of NSAID-associated ulcers","Headache, diarrhea, stomach pain, flatulence. Long-term risk: Bone fracture, low magnesium, B12 deficiency.",Proton Pump Inhibitor (PPI),₹100 - ₹300 per 10 caps (20mg/40mg),20 mg or 40 mg once daily.,"Omeprazole, Pantoprazole, Lansoprazole.",Global Capsule/Tablet/IV
Estramustine phosphate,Metastatic Prostate Cancer (Hormone-refractory),-,"Nausea, vomiting, gynecomastia (male breast development), fluid retention, lethargy. Serious: Thromboembolic events (DVT/PE/Stroke).",Estrogen and Alkylating Agent Combination,Very High Cost; Oncology use only,10-16 $\text{mg}/\text{kg}/\text{day}$ in 3 or 4 divided doses.,-,Global Capsule
Etamsylate,"Prevention and treatment of abnormal capillary Bleeding (Menorrhagia, Surgery)",-,"Skin rash, nausea, vomiting, headache, injection site pain (with IV).",Hemostatic Agent,₹50 - ₹150 per 10 tabs (500mg),500 mg 4 times a day (oral). IV/IM dose varies.,Tranexamic Acid (Antifibrinolytic).,Global Tablet/Injection
Etanercept,Rheumatoid Arthritis (RA),"Psoriatic Arthritis, Plaque Psoriasis, Ankylosing Spondylitis","Injection site reactions (pain, redness), headache, upper respiratory tract infections. Serious: Serious infections (TB, sepsis), new/worsening heart failure.",TNF-$\alpha$ Inhibitor (Biologic Disease-Modifying Antirheumatic Drug),Extremely High Cost; Specialty Injection,50 mg SC once weekly (for most indications).,"Adalimumab, Infliximab.",Global Injection (Pre-filled Syringe)
Etelcalcetide,Secondary Hyperparathyroidism in Chronic Kidney Disease patients on dialysis,-,"Low calcium (hypocalcemia), muscle cramps, diarrhea, nausea, vomiting.",Calcimimetic Agent,Extremely High Cost; Specialty IV Injection,IV injection 3 times weekly at the end of dialysis session (Dose highly individualized).,Cinacalcet (Oral calcimimetic).,Global Injection
Ethambutol hydrochloride,Treatment of Tuberculosis (TB) (part of a multi-drug regimen),-,"Vision changes (dose-related optic neuritis: reduced acuity, color blindness), joint pain, nausea, vomiting.",Antimycobacterial Agent,₹20 - ₹80 per 10 tabs (400mg),15 $\text{mg}/\text{kg}$ to 25 $\text{mg}/\text{kg}$ once daily (requires frequent vision checks).,"Isoniazid, Rifampicin, Pyrazinamide.",Global Tablet
Ethosuximide,Treatment of Absence Seizures (Petit Mal Epilepsy),-,"Nausea, vomiting, diarrhea, upset stomach, tiredness, dizziness, headache. Serious: Blood disorders (agranulocytosis), severe skin reactions (SJS).",Succinimide Anticonvulsant,₹100 - ₹300 per 10 caps (250mg),Initial: 250 mg twice daily. Maintenance: 1 to 1.5 g daily in divided doses.,Valproate (also treats absence seizures).,Global Capsule/Oral Solution
Etodolac,Osteoarthritis and Rheumatoid Arthritis,"Acute Pain, Dysmenorrhea","Upset stomach, stomach pain, nausea, diarrhea. Serious: GI bleeding, increased risk of heart attack/stroke, renal damage.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹50 - ₹150 per 10 tabs (400mg),200 mg to 400 mg every 6 to 8 hours. Max 1000 mg/day.,"Ibuprofen, Naproxen, Diclofenac.",Global Tablet/Capsule
Etomidate,Induction of General Anesthesia (especially in hemodynamically unstable patients),Rapid Sequence Intubation (RSI) sedation,"Transient intravenous pain on injection, involuntary muscle movements (myoclonus), nausea, vomiting. Serious: Adrenal suppression (single dose can inhibit cortisol production).",Imidazole General Anesthetic,High Cost; Hospital/IV use only,0.2 $\text{mg}/\text{kg}$ to 0.6 $\text{mg}/\text{kg}$ IV injection over 30-60 seconds.,"Propofol, Ketamine.",Global Injection
Etoposide,"Various Cancers (Testicular, Small Cell Lung, Lymphoma)",-,"Myelosuppression (severe), nausea, vomiting, hair loss (alopecia), fatigue, mucositis. Serious: Anaphylaxis, secondary leukemia (rare).",Topoisomerase II Inhibitor (Chemotherapy),Very High Cost; Oncology use only,"IV infusion (Dosing complex, based on $\text{m}^2$). Oral capsule also available.",Teniposide.,Global Injection/Capsule
Etoricoxib,"Osteoarthritis, Rheumatoid Arthritis, Acute Gout","Ankylosing Spondylitis, Post-dental surgery pain","Stomach pain, dizziness, headache, increased blood pressure, edema. Serious: Increased risk of cardiovascular events (MI/Stroke).",Selective COX-2 Inhibitor (NSAID),₹100 - ₹300 per 10 tabs (60mg/90mg),60 mg to 120 mg once daily (depending on indication).,"Celecoxib, Diclofenac.",Global Tablet
Etravirine,Treatment of HIV-1 Infection (often in treatment-experienced patients),-,"Rash, nausea, diarrhea, headache, peripheral neuropathy. Serious: Severe skin reactions (SJS), hypersensitivity reactions.",Non-Nucleoside Reverse Transcriptase Inhibitor (NNRTI),Very High Cost; Specialty drug,200 mg twice daily (taken after a meal).,"Efavirenz, Rilpivirine.",Global Tablet
Everolimus,"Advanced Breast Cancer (HR+/HER2-), Renal Cell Carcinoma, Neuroendocrine Tumors","Prevention of organ rejection (Transplant), Tuberous Sclerosis Complex (TSC) tumors","Mouth sores (stomatitis), infections, rash, fatigue, cough. Serious: Interstitial lung disease (pneumonitis), renal damage.",mTOR Inhibitor (Immunosuppressant / Antineoplastic),Extremely High Cost; Specialty drug,Cancer: 10 mg once daily. Transplant/TSC: Varies (lower doses).,"Temsirolimus, Sirolimus.",Global Tablet
Evolocumab,Reduction of LDL-C (Bad Cholesterol) in Hypercholesterolemia (including Familial),"Prevention of cardiovascular events (MI, Stroke) in high-risk patients","Injection site reactions, flu-like symptoms, back pain, muscle aches. Serious: Allergic reactions (rash, hives).",PCSK9 Inhibitor (Monoclonal Antibody),Extremely High Cost; Specialty Injection,140 mg SC every 2 weeks or 420 mg SC once monthly.,Alirocumab.,Global Injection (Pre-filled Pen)
Exemestane,Treatment of hormone-receptor positive Breast Cancer in postmenopausal women,-,"Hot flashes, joint pain, fatigue, headache, insomnia, depression. Serious: Osteoporosis/fractures.",Irreversible Aromatase Inhibitor,Very High Cost; Oncology drug,25 mg once daily (after a meal).,"Anastrozole, Letrozole (Other Aromatase Inhibitors).",Global Tablet
Exenatide,Type 2 Diabetes Mellitus (Improves glycemic control),-,"Nausea (common at initiation), vomiting, diarrhea, dizziness, injection site reaction. Serious: Pancreatitis, thyroid C-cell tumors (extended-release form).",Glucagon-Like Peptide-1 (GLP-1) Receptor Agonist,Very High Cost; Specialty Injection,Immediate-release: 5 $\mu$g SC twice daily (up to 10 $\mu$g). Extended-release: 2 mg SC once weekly.,"Liraglutide, Dulaglutide.",Global Injection (Pre-filled Pen)
Ezetimibe,Hypercholesterolemia (High LDL Cholesterol),Homozygous Familial Hypercholesterolemia (HoFH),"Headache, diarrhea, joint pain, upper respiratory tract infection. Serious: Myopathy/Rhabdomyolysis (muscle problems, esp. with statin).",Cholesterol Absorption Inhibitor,₹200 - ₹500 per 10 tabs (10mg),10 mg once daily.,"Cholestyramine (Bile acid sequestrant), Often combined with a Statin.",Global Tablet
Famciclovir,Treatment of Herpes Zoster (Shingles),Treatment of Recurrent Genital Herpes,"Headache, nausea, diarrhea, dizziness, fatigue.",Guanosine Analog Antiviral,₹400 - ₹900 per 10 tabs (250mg/500mg),Shingles: 500 mg every 8 hours for 7 days. Genital Herpes: 125 mg to 500 mg twice daily.,"Acyclovir, Valacyclovir.",Global Tablet
Famotidine,Peptic Ulcer Disease (Gastric/Duodenal),"Gastro-oesophageal Reflux Disease (GORD), Heartburn","Headache, dizziness, constipation or diarrhea.",Histamine $\text{H}_2$ Receptor Antagonist,₹50 - ₹150 per 10 tabs (20mg/40mg),20 mg twice daily or 40 mg once daily (at night).,"Ranitidine, Cimetidine.",Global Tablet/IV
Febuxostat,Management of Chronic Gout (Hyperuricemia),-,"Liver function abnormalities, nausea, rash, arthralgia (joint pain), gout flares (initial). Serious: Cardiovascular events (MI, Stroke).",Xanthine Oxidase Inhibitor,₹300 - ₹600 per 10 tabs (40mg/80mg),40 mg or 80 mg once daily.,Allopurinol.,Global Tablet
Felodipine,Hypertension (High Blood Pressure),Stable Angina Pectoris,"Peripheral edema (ankle/foot swelling), headache, flushing, dizziness.",Dihydropyridine Calcium Channel Blocker,₹80 - ₹250 per 10 tabs (5mg/10mg ER),5 mg extended-release once daily (max 10 mg).,"Amlodipine, Nifedipine.",Global Tablet (Extended-Release)
Fenofibrate,Severe Hypertriglyceridemia (High Triglycerides),Primary Hypercholesterolemia/Mixed Dyslipidemia,"Headache, abdominal pain, nausea, increased liver enzymes (transaminases). Serious: Myopathy, gallstones (cholelithiasis).",Fibrate (PPAR-$\alpha$ Agonist),₹100 - ₹300 per 10 tabs (145mg/160mg),145 mg or 160 mg once daily with food (depending on formulation).,"Gemfibrozil, Bezafibrate.",Global Tablet/Capsule
Fenoprofen,Osteoarthritis and Rheumatoid Arthritis,Mild to Moderate Pain,"Gastrointestinal upset, indigestion, nausea, dizziness. Serious: GI bleeding, increased risk of cardiovascular events, renal damage.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹50 - ₹150 per 10 tabs (600mg),300 mg to 600 mg every 6-8 hours. Max 3200 mg/day.,"Ibuprofen, Naproxen.",Global Tablet
Fentanyl,"Management of chronic, severe Pain (opioid-tolerant patients)",Anesthesia and Sedation (IV),"Nausea, vomiting, constipation, confusion, dizziness, somnolence. Serious: Respiratory Depression, addiction/dependence.",Opioid Analgesic,"High Cost; Controlled substance (Patch, IV, Lozenge)","Transdermal patch (25 $\mu$g/h to 100 $\mu$g/h, replaced every 72 hours). IV Dosing: $\mu$g/kg.","Morphine, Oxycodone.",Global Patch/Injection/Lozenge
Ferric carboxymaltose,Treatment of Iron Deficiency Anemia (when oral iron is ineffective/intolerated),-,"Headache, nausea, dizziness, flushing, injection site reactions. Serious: Hypophosphatemia (low phosphate), hypersensitivity reactions.",Intravenous Iron Preparation,Very High Cost; Hospital/IV use only,"IV infusion (Total calculated iron dose, often 500 mg to 1000 mg per infusion, repeated as needed).","Iron Sucrose, Iron Dextran.",Global Injection
Ferrous fumarate,Prevention and treatment of Iron Deficiency Anemia,-,"Nausea, constipation, dark stools (expected), stomach upset. Serious: Accidental overdose can be fatal in children.",Oral Iron Supplement,₹10 - ₹50 per 10 tabs (200mg/300mg),200 mg to 300 mg once or twice daily.,"Ferrous Sulphate, Ferrous Gluconate.",Global Tablet/Capsule
Ferrous gluconate,Prevention and treatment of Iron Deficiency Anemia,-,"Nausea, constipation, dark stools (expected), stomach cramps. Serious: Accidental overdose can be fatal in children.",Oral Iron Supplement,₹10 - ₹50 per 10 tabs (300mg/325mg),300 mg to 325 mg once or twice daily.,"Ferrous Fumarate, Ferrous Sulphate.",Global Tablet/Capsule
Ferrous sulphate,Prevention and treatment of Iron Deficiency Anemia,-,"Nausea, constipation, dark stools (expected), stomach irritation. Serious: Accidental overdose can be fatal in children.",Oral Iron Supplement,₹5 - ₹30 per 10 tabs (200mg/325mg),200 mg to 325 mg once or twice daily.,"Ferrous Fumarate, Ferrous Gluconate.",Global Tablet/Liquid
Fesoterodine fumarate,"Symptoms of Overactive Bladder (OAB) (Urgency, Frequency, Incontinence)",-,"Dry mouth, constipation, urinary tract infection (UTI), blurred vision. Contraindicated: In urinary retention, severe ulcerative colitis.",Antimuscarinic/Anticholinergic,₹300 - ₹700 per 10 tabs (4mg/8mg),4 mg once daily (may increase to 8 mg).,"Tolterodine, Oxybutynin, Solifenacin.",Global Tablet (Extended-Release)
Fexofenadine hydrochloride,Treatment of Seasonal Allergic Rhinitis (Hay Fever),Chronic Idiopathic Urticaria (Hives),"Headache, drowsiness (less than older antihistamines), dizziness, nausea, indigestion.",Second-Generation $\text{H}_1$ Antihistamine,₹80 - ₹200 per 10 tabs (120mg/180mg),60 mg twice daily or 120/180 mg once daily.,"Loratadine, Cetirizine.",Global Tablet
Fidaxomicin,Treatment of Clostridioides difficile-associated diarrhea (CDAD),-,"Nausea, vomiting, abdominal pain, GI hemorrhage.",Macrolide Antibiotic (Specific for gut bacteria),Extremely High Cost; Specialty drug,200 mg twice daily for 10 days.,"Vancomycin (Oral), Metronidazole.",Global Tablet
